# Multi-Origin Emergency Corridor Edges
# Origins: 4
# Format: node_id_1,node_id_2,tier
#
126803357,30243205,backbone
30617608,30617611,primary
12898105383,1393379539-AddedOffRampNode,primary
1312339746,481122027,secondary
30617738,8463439397,primary
8132079773,8132079775,secondary
1479334855,cluster_1479334771_4850174878,primary
30243118,6762254076,secondary
8109172276,cluster_1297470711_293407668,secondary
402875805,7376904298,backbone
7540811513,9090670832,primary
511123411,7223680627,secondary
3822804387,3822804393,primary
1046612995,258565861,secondary
1046599625,847727783,primary
30313399,4590999308,primary
9739474150,cluster_30332606_8223182475,primary
126697585,30556749,primary
2914607831,4436287114,secondary
cluster_1139082290_1139082295_319630104_8550439929,cluster_12901275356_319630542_319630543_7546057082,primary
cluster_2087205005_2087205007,cluster_2914411511_330414541,tertiary
2473393788,2473393790,secondary
30243054,cluster_30254225_5268554994_559787230_8205064230_#1more,backbone
308672498,475480604-AddedOffRampNode,secondary
256484488,849592992,primary
10814722755,677439927,secondary
415956316,415956322,primary
30295105,30617356,primary
3053899378,847726909,primary
1771985487,2681806809,secondary
12898105375,1295278485,primary
2238485645,30312487,primary
30314630,59749808,primary
359977822,536418264,backbone
8530214076,cluster_11256490152_126658000,primary
126781129,1378950924,secondary
415884756,9039923519,primary
387127551,387127552,primary
797498302,cluster_12945382588_12945382589_243339101_243339102_#5more,primary
323190146,cluster_3643380198_3643380203_366065819_415994563,primary
687897143,687897145,secondary
30254049,30254080,primary
12898105366,412458316,primary
30295335,30295336,tertiary
1551112040,1595524585,primary
12884120609,5253055693,secondary
783747960,800172181,primary
4127392691,627782764,primary
1297744704,30246712,primary
30227160,30227232,primary
1120208400,425612117,secondary
1622039362,cluster_1622039363_5286242896,secondary
cluster_478867470_8530300628,cluster_482505205_8530300629_8530300631,secondary
30295713,30295714,secondary
30313434,30313436,secondary
797407413,797407467,primary
540312579,540312581,secondary
2197824480,2473393839,secondary
1311770051,344992889,backbone
30297293,561521689,secondary
1863716081,30688839,primary
1315972413,1780444609,secondary
3275080341,cluster_3275080331_418737418,secondary
30254228,8203998879,backbone
387127696,417972224,primary
3141525071,442540257,backbone
2706190207,2708786214,secondary
30688819,30688824,tertiary
324231741,535228352,tertiary
30297454,cluster_2473394000_2473394005_30297525,tertiary
30295627,598225223,primary
347353582,347712660,primary
629306521,cluster_4416582771_4417346835_6898449421_949285345,primary
4174384541,cluster_1374800915_1374801052,secondary
30253388,cluster_1940573413_1940864524,primary
288023677,535228367,tertiary
1584415334,323191074,primary
30295334,30295335,tertiary
323190133,323190135,secondary
1365781145,6939468887,tertiary
818710818,8529268154,primary
1589583464,2494769767,primary
