# Emergency Corridor Edges (node_id_1, node_id_2, tier)
448700503,448700605,secondary
30253978,8321607781,secondary
8119755196,cluster_1930254000_8119755195,secondary
30555407,30555408,tertiary
30555407,30558462,tertiary
2850693122,30243942,secondary
1046607404,1695282673,secondary
324230925,cluster_1771982095_568847323,primary
790028539,790034779,tertiary
1377806846,1378950924,secondary
1313997605,598219933,secondary
415937924,cluster_30554509_415935008,secondary
1299373048,2676998917,primary
364670521,cluster_2146914032_667379829,primary
8429334435,955030102,secondary
11061736176,11061736178,primary
100409765,191823363,secondary
356295291,356295312,secondary
12953490457,4473060899,secondary
1312053375,cluster_1312053315_2767355572_769906822,secondary
364718834,364718898,secondary
2706190138,449385485,primary
1311619363,442540243,secondary
2529520245,3439181959,secondary
690812143,cluster_2463014352_30960642,tertiary
432509963,432509964,primary
8225869769,998615820,secondary
1716858625,2682207951,primary
12643851486,414683104,tertiary
1477718847,30558551,secondary
1374757788,1374757842,secondary
315486993,559424462,primary
2537106454,3567345315,secondary
30253391,304495406,secondary
4395509060,cluster_4251794057_6213879857,primary
559787233,cluster_2874226365_30243264_559787236_9522195473,secondary
412453212,583257390,primary
30237530,30237531,secondary
4385152385,506223372,secondary
247637117,5782967886,primary
980160376,980160394,tertiary
418737421,687897127,secondary
30307932,30914370,secondary
2264456451,cluster_11240124255_3386536280_4538123378_4538123419_#1more,primary
30556734,426884331,primary
30242948,412446078,tertiary
2650778289,2650778307,primary
5335313617,5335313618,secondary
30254599,30617794,tertiary
30686179,7589389959,secondary
2606686566,323169605,primary
4346093747,cluster_4431636963_4431636973_8140250869,secondary
535228390,535228401,secondary
30227068,5306386384,secondary
1603753674,4470527926,secondary
412462146,cluster_1224389881_1224389897,primary
1017920159,499122835,secondary
12643425281,434487433,secondary
359099426,359099730,tertiary
11370726443,555187278,primary
269384878,364829704,tertiary
30253204,30253205,secondary
401870564,cluster_11373542255_11373542260_11373542261_12919684467_#1more,secondary
cluster_1528732109_356295204,cluster_356295200_690679209,secondary
597933805,cluster_30243349_3144669232,secondary
359099425,359099730,secondary
30294777,30294778,primary
30294339,30558560,secondary
535228357,535228373,secondary
30243361,4840145821,secondary
30555744,415947301,secondary
10141741738,cluster_35120255_687897083,secondary
2473393700,3048076938,secondary
783747960,800172179,tertiary
330418565,365287928,primary
8530300635,cluster_12953261545_481122118_8530300633,secondary
30242960,30253569,tertiary
11282472027,1311619517,secondary
2767286533,30312841,secondary
262251757,312894015,secondary
1312053334,cluster_30332593_402899818_6482637091_6852936110,secondary
30251175,30251176,secondary
126657995,30295245,tertiary
30237479,998567760,secondary
4850661052,4850661055,secondary
190986445,cluster_190985498_190985499_533663031,secondary
1853174728,4635141742,primary
1017920129,1017920205,secondary
30313438,30313439,secondary
1012330330,178542533,secondary
219009535,219009557,secondary
3762047842,448700549,tertiary
1794642773,432509965,primary
4852602038,cluster_615815434_629327975,primary
11254956947,530964307,secondary
30294856,8185022787,primary
269379908,364829686,secondary
35120240,687897075,secondary
365565831,4385157797,secondary
126697585,30556749,primary
293302297,30295892,primary
10893712430,30243263,primary
308672693,308672709,secondary
30556741,30556742,primary
30558557,8465744797,secondary
9350842927,9350842938,primary
12953261513,cluster_1126998923_947908704,primary
192068604,5306386378,secondary
2268659706,347712510,secondary
1357271772,414683104,tertiary
1310620177,412451336,tertiary
30294487,30294489,secondary
2689711017,387127524,primary
30253401,543552956,secondary
1753694399,9416544617,tertiary
31286344,3860517847,secondary
1479422584,950190651,primary
2578612975,30312935,secondary
60969458,60969459,secondary
364670490,364670492,primary
2264456443,30252067,secondary
290060062,290060063,secondary
770847800,770847801,tertiary
269382534,cluster_269376045_6099715638_6663108848,secondary
1551112026,cluster_364719512_6064789701_7223675826_7223675837_#1more,secondary
30254380,30554037,primary
8300566607,cluster_257746909_258563358,primary
1002675881,12919195236,primary
4880337149,8392166381,secondary
4538123596,cluster_2525354561_2984948749_4538123610,secondary
30333309,308733542,secondary
30297363,cluster_1297490067_2786421930_2786421958_559410527_#1more,secondary
359236400,7233634040,primary
1311619319,430535725,secondary
1311770050,30243053,secondary
2268659706,347353582,secondary
269383881,30237530,secondary
30554849,64934032,tertiary
1314467682,330412974,primary
