orig,dest,total_trips,completed_trips,free_travel_time,average_travel_time,stddiv_travel_time,shortest_distance,average_distance_traveled_per_veh,stddiv_distance_traveled_per_veh
4897232219,30237635,10,0,0.0,0.0,0.0,0.0,0.0,0.0
30247433,8126691012,25,25,101.5,174.0,8.602325267042627,1185.0,1187.0,0.0
6634825854,30238029,5,0,0.0,0.0,0.0,0.0,0.0,0.0
30238025,30247434,35,35,86.10714285714286,121.42857142857143,17.467170372339265,466.0,940.0,0.0
30247167,1311619368,10,10,114.5,187.5,2.5,1061.0,1291.0,0.0
30237616,30237615,25,25,41.64285714285714,72.0,8.12403840463596,348.0,489.0,115.12601791080937
30237616,30247167,25,25,64.73809523809524,113.0,19.131126469708992,235.0,376.0,115.12601791080937
30237637,30247431,5,5,19.42857142857143,25.0,0.0,270.0,272.0,0.0
30237617,30237641,25,25,50.214285714285715,97.0,9.797958971132712,702.0,703.0,0.0
8210106342,30247089,60,60,51.85714285714285,91.25,39.27069518101252,726.0,809.3333333333334,276.38539919628334
1311619340,3236553576,30,0,0.0,0.0,0.0,0.0,0.0,0.0
7005287334,359104407,20,20,47.46428571428571,123.75,31.893377055432683,651.0,651.0,0.0
8235449359,7005287334,20,0,0.0,0.0,0.0,0.0,0.0,0.0
12884439749,3236553576,5,0,0.0,0.0,0.0,0.0,0.0,0.0
30243323,7005287334,40,0,0.0,0.0,0.0,0.0,0.0,0.0
12884439757,30237617,10,10,2.214285714285714,20.0,0.0,31.0,31.0,0.0
